S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry
14515,UDHAMPUR ARTO,JK14B5698,11-Aug-10,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,21-Dec-10,20-Dec-19,19-Dec-20,,NA,UDHAMPUR,MOUD,,Ordinary Service,2010-2011,2010-2011,DIESEL,
14516,UDHAMPUR ARTO,JK14B5745,19-Aug-10,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),16-May-19,16-May-20,15-May-21,JAMMU BANIHAL AREA,NA,,,NA,Ordinary Service,2010-2011,2019-2020,DIESEL,
14517,UDHAMPUR ARTO,JK14B5760,23-Aug-10,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-Sep-10,06-Sep-15,05-Sep-16,,NA,,,NA,Ordinary Service,2010-2011,2010-2011,DIESEL,
14518,UDHAMPUR ARTO,JK14B5804,27-Aug-10,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,31-Mar-05,17-Sep-17,16-Sep-18,,NA,UDHAMPUR,JIB THATHI,,Ordinary Service,2010-2011,2004-2005,DIESEL,
14519,UDHAMPUR ARTO,JK14B5907,08-Sep-10,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-Apr-02,23-Apr-21,22-Apr-24,,NA,UDHAMPUR,MANWAL,,Ordinary Service,2010-2011,2002-2003,DIESEL,
14520,UDHAMPUR ARTO,JK14B6002,23-Sep-10,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),21-Oct-14,21-Oct-21,20-Oct-23,JAMMU BANIHAL AREA,NA,,,NA,Ordinary Service,2010-2011,2014-2015,DIESEL,
14521,UDHAMPUR ARTO,JK14B6140,05-Oct-10,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-Oct-10,06-Oct-15,05-Oct-16,,NA,,,NA,Ordinary Service,2010-2011,2010-2011,DIESEL,
14522,UDHAMPUR ARTO,JK14B6397,03-Nov-10,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),09-Nov-10,09-Nov-22,08-Nov-27,JAMMU BANIHAL AREA,NA,,,NA,Ordinary Service,2010-2011,2010-2011,DIESEL,
14523,UDHAMPUR ARTO,JK14B6506,15-Nov-10,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,11-Apr-91,10-Mar-17,31-Mar-18,,NA,UDHAMPUR,CHENANI,,Ordinary Service,2010-2011,1991-1992,DIESEL,
14524,UDHAMPUR ARTO,JK14B6563,23-Nov-10,2WN,Private,M-Cycle/Scooter,Stage Carriage Permit,BIG BUSES(HTV),08-Jan-11,08-Jan-15,07-Jan-16,,NA,,,NA,Ordinary Service,2010-2011,2010-2011,PETROL,
14525,UDHAMPUR ARTO,JK14B6576,23-Nov-10,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,26-Apr-88,01-Apr-22,31-Mar-24,,NA,KATHAR,RAILWAY STATION MANWAL,PEAMOO TAJUR AND VICE VERSA,Ordinary Service,2010-2011,1988-1989,DIESEL,
14526,UDHAMPUR ARTO,JK14B6583,24-Nov-10,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),08-Jan-11,08-Jan-23,07-Jan-28,JAMMU BANIHAL AREA,NA,,,NA,Ordinary Service,2010-2011,2010-2011,DIESEL,
14527,UDHAMPUR ARTO,JK14B6647,30-Nov-10,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),22-Dec-10,22-Dec-21,21-Dec-23,JAMMU BANIHAL AREA,NA,,,NA,Ordinary Service,2010-2011,2010-2011,DIESEL,
14528,UDHAMPUR ARTO,JK14B6661,04-Dec-10,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Aug-02,16-Aug-16,15-Aug-17,,NA,,,NA,Ordinary Service,2010-2011,2002-2003,DIESEL,
14529,UDHAMPUR ARTO,JK14B6689,06-Dec-10,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Dec-10,15-Dec-19,14-Dec-21,,NA,DALLI,DALLAN RAMNAGAR,,Ordinary Service,2010-2011,2010-2011,DIESEL,
14530,UDHAMPUR ARTO,JK14B6766,13-Dec-10,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),22-Dec-10,22-Dec-21,21-Dec-23,JAMMU BANIHAL AREA,NA,,,NA,Ordinary Service,2010-2011,2010-2011,DIESEL,
14531,UDHAMPUR ARTO,JK14B6827,20-Dec-10,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),21-Dec-10,21-Dec-15,20-Dec-16,,NA,,,NA,Ordinary Service,2010-2011,2010-2011,DIESEL,
14532,UDHAMPUR ARTO,JK14B6847,21-Dec-10,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-Dec-10,24-Dec-15,23-Dec-16,,NA,,,NA,Ordinary Service,2010-2011,2010-2011,DIESEL,
14533,UDHAMPUR ARTO,JK14B6876,22-Dec-10,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,08-Jan-07,08-Jan-15,07-Jan-16,,NA,,,NA,Ordinary Service,2010-2011,2006-2007,DIESEL,
