S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry
1,ANANTNAG ARTO,JK030707,21-Feb-97,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-98,16-Jun-19,15-Jun-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,1996-1997,1998-1999,DIESEL,C PASSENGERS
2,ANANTNAG ARTO,JK030808,09-Apr-97,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-98,15-Jun-15,15-Jun-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,1997-1998,1998-1999,DIESEL,C PASSENGERS
3,ANANTNAG ARTO,JK030843,01-Dec-97,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-98,16-Jun-19,15-Jun-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,1997-1998,1998-1999,DIESEL,C PASSENGERS
4,ANANTNAG ARTO,JK031071,30-Jun-97,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-98,16-Jun-19,15-Jun-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,1997-1998,1998-1999,DIESEL,C PASSENGERS
5,ANANTNAG ARTO,JK031127,30-Jun-97,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-00,16-Jun-19,15-Jun-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,1997-1998,2000-2001,DIESEL,C PASSENGERS
6,ANANTNAG ARTO,JK031159,07-Jul-97,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-99,16-Jun-19,15-Jun-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,1997-1998,1999-2000,DIESEL,C PASSENGERS
7,ANANTNAG ARTO,JK031533,13-Mar-98,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-00,15-Jun-16,15-Jun-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,1997-1998,2000-2001,DIESEL,CARRYING PASSANGER
8,ANANTNAG ARTO,JK031909,27-Jul-98,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),17-Aug-98,17-Aug-23,16-Aug-28,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1998-1999,1998-1999,DIESEL,NON HAZARDOUS::OTHER::ONLY
9,ANANTNAG ARTO,JK031992,19-Aug-98,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),03-Nov-98,02-Nov-19,02-Nov-20,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1998-1999,1998-1999,DIESEL,C PASSENGERS
10,ANANTNAG ARTO,JK032353,19-Jan-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),02-Jun-99,01-Jun-16,01-Jun-19,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1998-1999,1999-2000,DIESEL,C PASSENGERS
11,ANANTNAG ARTO,JK032463,23-Feb-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),25-Sep-99,25-Sep-20,24-Sep-22,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1998-1999,1999-2000,DIESEL,CARRYING PASSANGER
12,ANANTNAG ARTO,JK032530,02-Apr-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),20-Apr-00,19-Apr-19,19-Apr-20,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1999-2000,2000-2001,DIESEL,CARRYING PASSANGER
13,ANANTNAG ARTO,JK032563,22-Apr-99,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-Jun-03,07-Jun-18,07-Jun-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,1999-2000,2003-2004,DIESEL,C PASSENGERS
14,ANANTNAG ARTO,JK032568,22-Nov-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),26-Jun-01,26-Jun-21,25-Jun-22,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1999-2000,2001-2002,DIESEL,NON HAZARDOUS::OTHER::ONLY
15,ANANTNAG ARTO,JK032928,05-Sep-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),25-Sep-99,24-Sep-19,24-Sep-20,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1999-2000,1999-2000,DIESEL,CARRYING PASSENGERS
16,ANANTNAG ARTO,JK032970,12-Aug-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),25-Sep-99,24-Sep-19,24-Sep-21,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1999-2000,1999-2000,DIESEL,CARRYING PASSANGER
17,ANANTNAG ARTO,JK033011,16-Jun-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),25-Sep-99,25-Sep-20,24-Sep-23,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1999-2000,1999-2000,DIESEL,
18,ANANTNAG ARTO,JK033078,06-Sep-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),25-Sep-99,24-Sep-17,24-Sep-20,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1999-2000,1999-2000,DIESEL,CARRYING PASSANGER
19,ANANTNAG ARTO,JK033311,30-Nov-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),30-Jan-00,30-Jan-20,30-Jan-21,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1999-2000,1999-2000,DIESEL,C PASSENGERS
20,ANANTNAG ARTO,JK033314,20-Nov-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),31-Jan-01,31-Jan-23,30-Jan-28,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1999-2000,2000-2001,DIESEL,NON HAZARDOUS::OTHER::ONLY
21,ANANTNAG ARTO,JK033365,08-Dec-99,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-Dec-99,30-Dec-22,29-Dec-27,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,1999-2000,1999-2000,DIESEL,NON HAZARDOUS::OTHER::ONLY
22,ANANTNAG ARTO,JK033562,01-Mar-00,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Mar-00,09-Mar-21,08-Mar-24,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,1999-2000,1999-2000,DIESEL,
23,ANANTNAG ARTO,JK033864,15-May-00,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),27-Jun-03,26-Jun-17,26-Jun-19,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,2000-2001,2003-2004,DIESEL,C PASSANGER
24,ANANTNAG ARTO,JK033873,15-May-00,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),26-Jun-00,26-Jun-19,26-Jun-20,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,C PASSANGER
25,ANANTNAG ARTO,JK033877,18-May-00,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),27-Jun-00,27-Jun-22,26-Jun-27,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,NON HAZARDOUS::OTHER::ONLY
26,ANANTNAG ARTO,JK033930,28-May-00,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-05,15-Jun-19,15-Jun-20,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2005-2006,DIESEL,CARRYING PASSENGERS
27,ANANTNAG ARTO,JK034024,15-Jun-00,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,27-Jun-00,26-Jun-18,26-Jun-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,C PASSANGERS
28,ANANTNAG ARTO,JK034165,17-Jul-00,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),20-Apr-01,20-Apr-20,19-Apr-23,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,2000-2001,2001-2002,DIESEL,
29,ANANTNAG ARTO,JK034218,29-Jul-00,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Dec-00,15-Dec-20,14-Dec-22,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,C PASSANGER
30,ANANTNAG ARTO,JK034225,27-Jul-00,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Dec-00,15-Dec-20,14-Dec-22,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,C PASSANGER
31,ANANTNAG ARTO,JK034228,27-Jul-00,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,20-Apr-00,20-Apr-20,19-Apr-25,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,NON HAZARDOUS::OTHER::ONLY
32,ANANTNAG ARTO,JK034377,09-Sep-00,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),22-May-04,21-May-20,21-May-22,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,2000-2001,2004-2005,DIESEL,CARRYING PASSENGERS
33,ANANTNAG ARTO,JK034590,21-Dec-00,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,17-Mar-00,16-Mar-20,16-Mar-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2000-2001,1999-2000,DIESEL,C PASSANGER
34,ANANTNAG ARTO,JK034595,30-Sep-00,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-May-01,16-May-19,15-May-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2001-2002,DIESEL,C PASSENGERS
35,ANANTNAG ARTO,JK034597,21-Dec-00,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-Feb-00,27-Feb-20,27-Feb-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Rural Service,2000-2001,1999-2000,DIESEL,C PASSANGER
36,ANANTNAG ARTO,JK034598,20-Dec-00,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,31-Jan-01,31-Jan-20,31-Jan-22,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,CARRYING PASSENGERS
37,ANANTNAG ARTO,JK034719,16-Aug-00,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,18-May-01,18-May-19,17-May-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2001-2002,DIESEL,C PASSANGERS
38,ANANTNAG ARTO,JK034750,06-Feb-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Mar-01,09-Mar-20,09-Mar-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,C PASSENGER
39,ANANTNAG ARTO,JK034752,16-Jan-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,10-Mar-01,10-Mar-20,09-Mar-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,C PASSENGERS
40,ANANTNAG ARTO,JK034825,24-Mar-01,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,20-Apr-01,20-Apr-22,19-Apr-24,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2001-2002,DIESEL,NON HAZARDOUS::OTHER::ONLY
41,ANANTNAG ARTO,JK034881,07-Apr-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Apr-01,25-Apr-20,24-Apr-23,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,NON HAZARDOUS::OTHER::ONLY
42,ANANTNAG ARTO,JK034984,05-Apr-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Jun-01,08-Jun-18,08-Jun-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSENGERS
43,ANANTNAG ARTO,JK034985,25-Apr-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-May-01,09-May-20,08-May-22,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,CARRYING PASSANGER
44,ANANTNAG ARTO,JK035008,30-Apr-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-May-01,24-May-19,23-May-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSENGERS
45,ANANTNAG ARTO,JK035009,30-Apr-01,LPV,Commercial,Bus,Stage Carriage Permit,,30-Apr-01,29-Apr-18,29-Apr-19,WITH IN DISTRICT,NA,,,NA,NA,2001-2002,2001-2002,DIESEL,C PASSANGERS
46,ANANTNAG ARTO,JK035076,15-May-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-May-01,08-May-19,08-May-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSENGERS
47,ANANTNAG ARTO,JK035144,17-May-01,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-May-02,29-May-19,28-May-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2002-2003,DIESEL,C PASSANGERS
48,ANANTNAG ARTO,JK035146,28-Feb-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-May-01,22-May-18,23-May-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2001-2002,DIESEL,C PASSANGERS
49,ANANTNAG ARTO,JK035150,31-May-01,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-Jul-01,06-Jul-18,06-Jul-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSENGERS
50,ANANTNAG ARTO,JK035165,19-May-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,20-Jun-01,19-Jun-19,19-Jun-20,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSENGER
51,ANANTNAG ARTO,JK035197,25-May-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Jun-01,09-Jun-19,08-Jun-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSENGERS
52,ANANTNAG ARTO,JK035213,28-May-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Jun-01,08-Jun-18,08-Jun-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSENGERS
53,ANANTNAG ARTO,JK035224,30-Apr-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Jun-01,09-Jun-19,08-Jun-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSENGERS
54,ANANTNAG ARTO,JK035225,16-May-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Jun-01,01-Jun-19,01-Jun-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSENGERS
55,ANANTNAG ARTO,JK035226,30-Apr-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-Jun-01,27-Jun-17,27-Jun-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSANGERS
56,ANANTNAG ARTO,JK035236,31-May-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,04-Jun-01,04-Jun-21,03-Jun-26,WITH IN DISTRICT,NA,,,NA,,2001-2002,2001-2002,DIESEL,C PASSENGERS
57,ANANTNAG ARTO,JK035254,12-Jun-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,13-Jun-09,13-Jun-19,12-Jun-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2009-2010,DIESEL,C PASSENGERS
58,ANANTNAG ARTO,JK035255,09-Jun-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,13-Jun-01,13-Jun-20,12-Jun-25,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,NON HAZARDOUS::OTHER::ONLY
59,ANANTNAG ARTO,JK035261,09-Jun-01,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,13-Jun-01,13-Jun-19,12-Jun-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSENGERS
60,ANANTNAG ARTO,JK035312,20-Jun-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Jun-01,24-Jun-17,24-Jun-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSENGERS
61,ANANTNAG ARTO,JK035341,25-Jun-01,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-Jun-01,30-Jun-19,29-Jun-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSENGERS
62,ANANTNAG ARTO,JK035363,15-May-01,LPV,Commercial,Omni Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Oct-01,15-Oct-19,15-Oct-20,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,CARRYING PASSANG
63,ANANTNAG ARTO,JK035395,20-Jun-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Jul-01,09-Jul-19,08-Jul-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSENGERS
64,ANANTNAG ARTO,JK035401,09-Jul-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-Jul-01,19-Jul-19,18-Jul-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSANGERS
65,ANANTNAG ARTO,JK035458,24-Jul-01,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Jul-01,24-Jul-17,24-Jul-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSENGERS
66,ANANTNAG ARTO,JK035510,28-Jul-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-Aug-01,07-Aug-22,06-Aug-25,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,NON HAZARDOUS::OTHER::ONLY
67,ANANTNAG ARTO,JK035644,25-Aug-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,03-Sep-01,02-Sep-19,02-Sep-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSANGER
68,ANANTNAG ARTO,JK035646,25-Aug-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Aug-01,28-Aug-19,28-Aug-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,C PASSANGER
69,ANANTNAG ARTO,JK035659,31-Jul-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,31-Aug-02,30-Aug-19,30-Aug-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2002-2003,DIESEL,C PASSANGER
70,ANANTNAG ARTO,JK035794,20-Sep-01,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),26-Jun-99,25-Jun-18,25-Jun-19,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,2001-2002,1999-2000,DIESEL,C PASSENGERS
71,ANANTNAG ARTO,JK035965,06-Nov-01,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-Oct-01,19-Oct-23,18-Oct-28,WITH IN 25 KMS OF DISTRICT,NA,,,NA,,2001-2002,2001-2002,DIESEL,NON HAZARDOUS::OTHER::ONLY
72,ANANTNAG ARTO,JK036078,26-Nov-01,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),02-Sep-02,01-Sep-19,01-Sep-20,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,2001-2002,2002-2003,DIESEL,CARRYING PASSENGERS
73,ANANTNAG ARTO,JK036444,02-Feb-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,22-Mar-02,22-Mar-21,21-Mar-26,WITH IN 25 KMS OF DISTRICT,NA,,,NA,,2001-2002,2001-2002,DIESEL,C PASSANGER
74,ANANTNAG ARTO,JK036489,31-Jan-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,03-Apr-02,03-Apr-22,02-Apr-24,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2002-2003,DIESEL,NON HAZARDOUS::OTHER::ONLY
75,ANANTNAG ARTO,JK036504,26-Mar-02,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),28-Dec-02,28-Dec-20,27-Dec-22,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,2001-2002,2002-2003,DIESEL,C PASSANGER
76,ANANTNAG ARTO,JK036515,15-Apr-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-Apr-02,23-Apr-24,22-Apr-29,WITH IN 25 KMS OF DISTRICT,NA,,,NA,,2002-2003,2002-2003,DIESEL,NON HAZARDOUS::OTHER::ONLY
77,ANANTNAG ARTO,JK036540,05-Apr-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,18-Oct-02,17-Oct-16,17-Oct-20,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,C PASSANGER
78,ANANTNAG ARTO,JK036600,29-Mar-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,20-May-02,19-May-19,19-May-20,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2002-2003,DIESEL,CARRYING PASSANGER
79,ANANTNAG ARTO,JK036742,07-May-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Nov-02,14-Nov-19,14-Nov-20,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,C PASSANGER
80,ANANTNAG ARTO,JK036779,13-May-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,20-May-02,19-May-13,19-May-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,C PASSENGERS
81,ANANTNAG ARTO,JK036782,14-May-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,27-Nov-02,27-Nov-21,26-Nov-26,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,NON HAZARDOUS::OTHER::ONLY
82,ANANTNAG ARTO,JK036783,04-May-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Apr-06,28-Apr-18,28-Apr-19,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2006-2007,DIESEL,C PASSENGERS
83,ANANTNAG ARTO,JK036812,30-Apr-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Sep-02,25-Sep-25,24-Sep-30,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,NON HAZARDOUS::OTHER::ONLY
84,ANANTNAG ARTO,JK036823,27-May-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Sep-02,25-Sep-25,24-Sep-30,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,NON HAZARDOUS::OTHER::ONLY
85,ANANTNAG ARTO,JK036896,31-May-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-Jul-02,18-Jul-18,18-Jul-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,C PASSANGERS
86,ANANTNAG ARTO,JK036944,23-Sep-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Sep-02,24-Sep-19,24-Sep-20,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,C PASSANGER
87,ANANTNAG ARTO,JK037201,31-Jul-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Oct-02,16-Oct-20,15-Oct-24,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,C PASSANGER
88,ANANTNAG ARTO,JK037285,30-Jul-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Oct-05,15-Oct-19,15-Oct-20,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2005-2006,DIESEL,CARRYING PASSANGER
89,ANANTNAG ARTO,JK037396,31-Aug-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Nov-02,15-Nov-19,14-Nov-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,C PASSENGERS
90,ANANTNAG ARTO,JK037464,02-Nov-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-Feb-11,24-Feb-23,23-Feb-28,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2010-2011,DIESEL,
