Name,Category,Importance,Latitude,Longitude,City/Town
Govt. Hospital Hafthrada,Major Hospital,High,34.4508037,74.0770902,Greater Kashmir Region
Kashmir Tibbia College Hospital & Research Centre,Major Hospital,High,34.1992227,74.6598968,Greater Kashmir Region
Tuberculosis Hospital,Major Hospital,High,34.284514,74.464589,Greater Kashmir Region
Quality Healthcare Hospital,Major Hospital,High,34.411414,74.2298888,Greater Kashmir Region
Public Health Centre,Major Hospital,High,34.1160246,74.4340471,Greater Kashmir Region
Brath Hospital,Major Hospital,High,34.3634117,74.4246553,Greater Kashmir Region
Government Hospital,Major Hospital,High,34.4703925,74.1182063,Greater Kashmir Region
MM Hospital,Major Hospital,High,34.174753,74.542508,Greater Kashmir Region
M.M. Hospital,Major Hospital,High,34.2890603,74.457919,Greater Kashmir Region
Qalamabad Hospital,Major Hospital,High,34.354851,74.232454,Greater Kashmir Region
Bomai Hospital,Major Hospital,High,34.3593462,74.4204197,Greater Kashmir Region
Government Hospital,Major Hospital,High,34.477619,74.151102,Greater Kashmir Region
"Hospital, Naidkhai",Major Hospital,High,34.2480138,74.5800329,Greater Kashmir Region
Sahara Hospital,Major Hospital,High,34.187016,74.527112,Greater Kashmir Region
Guru Multispeciality Hospital,Major Hospital,High,34.290921,74.459256,Greater Kashmir Region
District Maternity and Children Hospital,Major Hospital,High,34.20869,74.343983,Greater Kashmir Region
Government Hospital,Major Hospital,High,34.513335,74.170981,Greater Kashmir Region
Government Hospital,Major Hospital,High,34.3741321,74.6810961,Greater Kashmir Region
Kangan Trauma Hospital,Major Hospital,High,34.2624955,74.9018597,Greater Kashmir Region
Government Health Centre,Major Hospital,High,34.1501736,74.6155221,Greater Kashmir Region
Masjid Sharief Hospital,Major Hospital,High,34.2023137,74.364661,Greater Kashmir Region
Mother and Child Care Hospital,Major Hospital,High,34.2623747,74.9023888,Greater Kashmir Region
Trauma Hospital,Major Hospital,High,34.317653,74.371815,Greater Kashmir Region
Unani Hospital,Major Hospital,High,34.140298,74.838097,Greater Kashmir Region
Unani Panchkarma Hospital,Major Hospital,High,34.5262469,74.2545495,Greater Kashmir Region
District Hospital,Major Hospital,High,34.4182511,74.6428078,Greater Kashmir Region
Alaie Hospital,Major Hospital,High,34.1314541,74.6689746,Greater Kashmir Region
Government Health Centre,Major Hospital,High,34.328458,74.485795,Greater Kashmir Region
Government Hospital,Major Hospital,High,34.2446428,74.3800579,Greater Kashmir Region
Ess Bee Hospital,Major Hospital,High,34.5251704,74.2537464,Greater Kashmir Region
Sub Hospital,Major Hospital,High,34.3180152,74.3717768,Greater Kashmir Region
Unani Hospital,Major Hospital,High,34.4327701,74.6117649,Greater Kashmir Region
Government Hospital,Major Hospital,High,34.221545,75.015865,Greater Kashmir Region
Sub District Hospital,Major Hospital,High,34.0945399,74.5915451,Greater Kashmir Region
Sub District Hospital,Major Hospital,High,34.0780092,74.0568786,Greater Kashmir Region
Child Care Hospital,Major Hospital,High,34.3962534,74.28382,Greater Kashmir Region
Meeran Memorial Hospital,Major Hospital,High,34.217028,74.7731054,Greater Kashmir Region
