S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry,E-Bus Identifier
12656.0,SRINAGAR RTO,JK01E8692,15-Jun-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,11-Aug-01,11-Aug-23,10-Aug-28,WESTERN AREA OF SRINAGAR CITY,,Soura,Parimpora,Hawal,Express Service,2001-2002,2001-2002,DIESEL,,
12671.0,SRINAGAR RTO,JK01F0135,25-Aug-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,09-May-85,09-May-20,08-May-25,EASTERN AREA OF SGR ROTATION BASIS,,Qamarwari,PathaChowk,Dalgate,Ordinary Service,2001-2002,1985-1986,DIESEL,,
12680.0,SRINAGAR RTO,JK01F1693,07-Nov-01,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-Mar-02,23-Mar-21,22-Mar-26,EASTERN AREA OF SGR ROTATION BASIS,,Hazratbal,LD,Rainawari,,2001-2002,2001-2002,DIESEL,,
12692.0,SRINAGAR RTO,JK01F2397,27-Dec-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,03-Jan-02,05-Jan-23,04-Jan-28,OUTSKIRTS OF SRINAGAR CITY,,Lalbazar ,Parimpora,Qamarwari,,2001-2002,2001-2002,DIESEL,,
12694.0,SRINAGAR RTO,JK01F2433,01-Jan-02,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,07-Jan-02,07-Jan-24,06-Jan-29,OUTSKIRTS OF SRINAGAR CITY,,Parimpora ,Rawalpora,Jehangir Chowk,,2001-2002,2001-2002,DIESEL,,
12700.0,SRINAGAR RTO,JK01F3087,21-Feb-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,22-May-89,22-May-20,21-May-25,WESTERN AREA OF SRINAGAR CITY,,Parimpora,Chadora,Jehangir Chowk,Ordinary Service,2001-2002,1989-1990,DIESEL,,
12704.0,SRINAGAR RTO,JK01F3101,26-Feb-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,10-May-89,09-May-23,08-May-28,WESTERN AREA OF SGR ROTATION BASIS,,Soura,Jehangir Chowk,Zonimar,Ordinary Service,2001-2002,1989-1990,DIESEL,,
12707.0,SRINAGAR RTO,JK01F3462,13-Mar-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,16-Mar-02,16-Mar-23,15-Mar-28,OUTSKIRTS OF SRINAGAR CITY,,Lalbazar ,Parimpora,Qamarwari,Ordinary Service,2001-2002,2001-2002,DIESEL,,
12713.0,SRINAGAR RTO,JK01F3899,03-Apr-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Apr-02,09-Apr-24,08-Apr-29,WESTERN AREA OF SGR ROTATION BASIS,,HMT,Jehangir Chowk,Batamallo,,2002-2003,2002-2003,DIESEL,,
12718.0,SRINAGAR RTO,JK01F4749,02-May-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Apr-02,16-Apr-24,15-Apr-29,WESTERN AREA OF SRINAGAR CITY,,SafaKadal ,Jehangir Chowk,SMHS,,2002-2003,2002-2003,DIESEL,,
12722.0,SRINAGAR RTO,JK01F4944,08-May-02,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,07-Jul-02,07-Jul-23,06-Jul-28,WESTERN AREA OF SRINAGAR CITY,,SafaKadal ,Jehangir Chowk,SMHS,Express Service,2002-2003,2002-2003,DIESEL,,
12725.0,SRINAGAR RTO,JK01F5224,20-May-02,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,31-Mar-02,31-Mar-25,30-Mar-30,WESTERN AREA OF SRINAGAR CITY,,SafaKadal ,Jehangir Chowk,SMHS,,2002-2003,2001-2002,DIESEL,,
12731.0,SRINAGAR RTO,JK01F5489,06-Jun-02,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,21-Jun-02,21-Jun-20,20-Jun-25,EASTERN AREA OF SGR ROTATION BASIS,,Jehangir Chowk,JVC,Bemina,Express Service,2002-2003,2002-2003,DIESEL,,
12733.0,SRINAGAR RTO,JK01F5505,07-Jun-02,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,10-Jul-02,10-Jul-21,09-Jul-25,OUTSKIRTS OF SRINAGAR CITY,,Parimpora,Rangrath,Bypass,Express Service,2002-2003,2002-2003,DIESEL,,
12734.0,SRINAGAR RTO,JK01F5665,11-Jun-02,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,04-Jan-96,23-Feb-22,22-Feb-27,WESTERN AREA OF SGR ROTATION BASIS,,Batamallo,Pantha chowk,Mominabad Tengpora,,2002-2003,1995-1996,DIESEL,,
12738.0,SRINAGAR RTO,JK01F5918,20-Jun-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,15-Feb-87,15-Feb-23,14-Feb-28,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,Budgam,Khumani Chowk,,2002-2003,1986-1987,DIESEL,,
12741.0,SRINAGAR RTO,JK01F6178,29-Jun-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,11-Nov-97,10-Nov-20,09-Nov-25,EASTERN AREA OF SGR ROTATION BASIS,,Parimpora,Panthachowk,Dalgate,,2002-2003,1997-1998,DIESEL,,
12743.0,SRINAGAR RTO,JK01F6304,03-Jul-02,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,20-Jul-02,25-Jul-25,24-Jul-30,WESTERN AREA OF SGR ROTATION BASIS,,Soura,Jehangir Chowk,Zonimar,,2002-2003,2002-2003,DIESEL,,
12747.0,SRINAGAR RTO,JK01F7436,07-Aug-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,03-Jul-89,16-Sep-23,15-Sep-28,WESTERN AREA OF SRINAGAR CITY,,Narbal,Jehangir Chowk,Qamarwari,,2002-2003,1989-1990,DIESEL,,
12761.0,SRINAGAR RTO,JK01F8997,19-Oct-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,25-Oct-02,25-Oct-22,24-Oct-27,,,QAMARWARI,DALGATE,BATMALOO,Ordinary Service,2002-2003,2002-2003,DIESEL,,
12762.0,SRINAGAR RTO,JK01F9402,06-Nov-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Dec-96,01-Dec-22,30-Nov-27,EASTERN AREA OF SGR ROTATION BASIS,,Batamallo,Panthachowk,Tengpora,Ordinary Service,2002-2003,1996-1997,DIESEL,,
12768.0,SRINAGAR RTO,JK01G0206,11-Mar-03,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-May-04,24-May-23,23-May-28,EASTERN AREA OF SGR ROTATION BASIS,,LD,Panthachowk,Dalgate,Ordinary Service,2002-2003,2004-2005,DIESEL,,
12783.0,SRINAGAR RTO,JK01G4803,05-Aug-03,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,17-Apr-92,16-Apr-25,15-Apr-30,WESTERN AREA OF SGR ROTATION BASIS,,Parimpora,Chadora,Jehangir Chowk,,2003-2004,1992-1993,DIESEL,,
12786.0,SRINAGAR RTO,JK01G5150,18-Aug-03,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,18-Nov-96,18-Nov-25,17-Nov-30,EASTERN AREA OF SGR ROTATION BASIS,,Panthachowk,LD,Dalgate,Ordinary Service,2003-2004,1996-1997,DIESEL,,
12794.0,SRINAGAR RTO,JK01G7406,12-Nov-03,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,16-Mar-92,16-Mar-23,15-Mar-28,WESTERN AREA OF SRINAGAR CITY,,QAMARWARI,BAGHI MEHTAB,"EXB CROSSING,",Ordinary Service,2003-2004,1991-1992,DIESEL,,
12813.0,SRINAGAR RTO,JK01H0113,06-May-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,10-Oct-73,01-Apr-23,31-Mar-28,WESTERN AREA OF SRINAGAR CITY,,Parimpora,Jawahirnagar,LD,,2004-2005,1973-1974,DIESEL,,
12815.0,SRINAGAR RTO,JK01H0211,10-May-04,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,17-Mar-99,16-Mar-21,15-Mar-26,EASTERN AREA OF SGR ROTATION BASIS,,Hazratbal,LD,Rainawara,Express Service,2004-2005,1998-1999,DIESEL,,
12822.0,SRINAGAR RTO,JK01H2560,29-Jun-04,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,23-May-89,23-May-25,22-May-30,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,HMT,Parimpora,,2004-2005,1989-1990,DIESEL,,
