row,from,to,vehicle,reason
12717,SafaKadal ,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12718,SafaKadal ,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12719,Jehangir Chowk,HMT,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12720,Jehangir Chowk,Panzinara,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12721,SafaKadal ,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12722,SafaKadal ,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12724,SafaKadal ,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12725,SafaKadal ,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12727,,,HPV,blank_origin_and_destination
12730,Jehangir Chowk,JVC,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12734,Jehangir Chowk,HMT,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12737,Jehangir Chowk,Budgam,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12739,Soura,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12742,Soura,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12745,Qamarwari,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12746,Narbal,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12751,Parimpora ,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12754,Soura,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12759,Narbal,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12764,SafaKadal ,Jehangir Chowk,LPV,ungeocoded: destination 'JEHANGIR CHOWK'
12768,,,HPV,blank_origin_and_destination
12770,"Hazratbal, Lalbazar",Parimpora,MPV,ungeocoded: origin 'HAZRATBAL LALBAZAR'
12772,HAZRATBAL,BONE JOINT HOSPITAL BARZALLA,MPV,ungeocoded: destination 'BONE JOINT HOSPITAL BARZALLA'
12773,,,HPV,blank_origin_and_destination
12774,,,HPV,blank_origin_and_destination
12776,,,MPV,blank_origin_and_destination
12777,,,HPV,blank_origin_and_destination
12780,,,HPV,blank_origin_and_destination
12786,GBS,LAL CHOWK,MPV,ungeocoded: origin 'GBS'
12787,,,HPV,blank_origin_and_destination
12790,,,HPV,blank_origin_and_destination
12797,,,HPV,blank_origin_and_destination
12799,Jehangir Chowk,Bemina,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12801,,,LPV,blank_origin_and_destination
12807,Jehangir Chowk,Bemina,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12809,SafaKadal ,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12810,,,HPV,blank_origin_and_destination
12818,,,HPV,blank_origin_and_destination
12819,,,HPV,blank_origin_and_destination
12820,,,HPV,blank_origin_and_destination
12821,Jehangir Chowk,HMT,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12823,,,HPV,blank_origin_and_destination
12825,,,HPV,blank_origin_and_destination
12826,,,HPV,blank_origin_and_destination
12827,,,HPV,blank_origin_and_destination
12831,,,HPV,blank_origin_and_destination
12833,,,HPV,blank_origin_and_destination
12834,,,HPV,blank_origin_and_destination
